"id","data_version","date","months","garagem","terraco","piscina","terreno","centroid","pva_m2","data_private","data_public","ecd","cfr","thumbnail","classe_energetica_id","cp7_id","estado","gama","situacao_mercado_id","tipo","tipologia","concelho_id","freguesia_id","regiao_id"
2547395,202110,"2020-03-01",19,False,False,False,False,"0101000020E6100000052A533425AE21C013C382B965934340",823,"{""pv"": 200000, ""pva"": 211600, ""coef"": 106.000, ""meses"": 4, ""pv_m2"": 778}","{""cp"": ""2070-420 PONTÉVEL"", ""abp"": 257, ""concelho"": ""Cartaxo"", ""freguesia"": ""Pontével"", ""n_quartos"": 3, ""orginal_cfr"": ""120431194-268"", ""percentil_pva"": 93, ""ano_construcao"": 2008}",219,"200ceb456e168b9cc2f7d3cfa0ea1d0f",NULL,5,2070420,2,4,2,2,7,140600,140604,4
2547407,202110,"2020-06-01",16,False,False,False,False,"0101000020E6100000E731D2A4779421C0CA8D9E32E9944340",635,"{""pv"": 86500, ""pva"": 89600, ""coef"": 104.000, ""meses"": 1, ""pv_m2"": 613}","{""cp"": ""2070-125 CARTAXO"", ""abp"": 141, ""concelho"": ""Cartaxo"", ""freguesia"": ""UF Cartaxo e Vale da Pinta"", ""n_quartos"": 3, ""orginal_cfr"": ""120431194-287"", ""percentil_pva"": 55, ""ano_construcao"": 1980}",219,"8acb6065b7a2df260f7d979ae507c570",NULL,7,2070125,2,3,2,1,4,140600,140609,4
2547411,202110,"2020-08-01",14,False,False,False,False,"0101000020E61000001A05E9ABA9A921C068FCEBAAFA964340",606,"{""pv"": 37000, ""pva"": 37600, ""coef"": 101.000, ""meses"": 3, ""pv_m2"": 597}","{""cp"": ""2070-597 VALE DA PINTA"", ""abp"": 62, ""concelho"": ""Cartaxo"", ""freguesia"": ""UF Cartaxo e Vale da Pinta"", ""n_quartos"": 2, ""orginal_cfr"": ""120431194-293"", ""percentil_pva"": 5, ""ano_construcao"": 1937}",219,"8f0ed25536d2102af7877a7ffb1b5c69",NULL,7,2070597,2,1,2,2,7,140600,140609,4
2547423,202110,"2020-10-01",12,False,False,False,False,"0101000020E61000005D6A03FE90FF21C07900CD184D7A4340",951,"{""pv"": 70000, ""pva"": 77100, ""coef"": 110.000, ""meses"": 1, ""pv_m2"": 864}","{""cp"": ""2600-031 VILA FRANCA DE XIRA"", ""abp"": 81, ""concelho"": ""Vila Franca de Xira"", ""freguesia"": ""Vila Franca de Xira"", ""n_quartos"": 3, ""orginal_cfr"": ""120431194-309"", ""percentil_pva"": 11, ""ano_construcao"": 1977}",219,"6f976e51b72f4555f64e517b7f3f8b00",NULL,6,2600031,2,1,2,1,4,111400,111409,1
2547677,202110,"2020-10-01",12,False,False,False,False,"0101000020E61000009E9E9000E27222C0FF0C6765985E4340",2359,"{""pv"": 352400, ""pva"": 382300, ""coef"": 108.000, ""meses"": 5, ""pv_m2"": 2175}","{""cp"": ""2610-175 AMADORA"", ""abp"": 162, ""concelho"": ""Amadora"", ""freguesia"": ""Alfragide"", ""n_quartos"": 4, ""orginal_cfr"": ""120431262-113"", ""percentil_pva"": 97, ""ano_construcao"": 2007}",219,"bb40bfa4a7061357f8b5971ae86b9340",NULL,7,2610175,2,4,1,1,5,111500,111512,1
2547483,202110,"2021-03-01",7,False,False,False,False,"0101000020E6100000CD4F238D079021C0CF72F285BD934340",1551,"{""pv"": 140000, ""pva"": 135000, ""coef"": 96.000, ""meses"": 6, ""pv_m2"": 1609}","{""cp"": ""2070-076 CARTAXO"", ""abp"": 87, ""concelho"": ""Cartaxo"", ""freguesia"": ""UF Cartaxo e Vale da Pinta"", ""n_quartos"": 2, ""orginal_cfr"": ""120431199-422"", ""percentil_pva"": 76, ""ano_construcao"": 2020}",219,"1c0b79b773d51a6aed1d0b62090eb6cf",NULL,3,2070076,1,4,2,2,7,140600,140609,4
2547716,202110,"2020-09-01",13,False,False,False,False,"0101000020E61000001B20A01410B021C0EE6AA8073B9B4340",677,"{""pv"": 125400, ""pva"": 141700, ""coef"": 113.000, ""meses"": 23, ""pv_m2"": 600}","{""cp"": ""2065-544 VILA NOVA DE SÃO PEDRO"", ""abp"": 209, ""concelho"": ""Azambuja"", ""freguesia"": ""UF Manique Intendente e V N S Pedro"", ""n_quartos"": 3, ""orginal_cfr"": ""120431273-79"", ""percentil_pva"": 74, ""ano_construcao"": 1995}",219,"d68d37c6e20bbcf02bc6b8f19a215e5e",NULL,8,2065544,2,3,1,2,7,110300,110310,4
2547721,202110,"2020-10-01",12,False,False,False,False,"0101000020E610000030FC45A8D06E21C0C36EAF3777864340",1212,"{""pv"": 186000, ""pva"": 181900, ""coef"": 98.000, ""meses"": 5, ""pv_m2"": 1240}","{""cp"": ""2125-121 MARINHAIS"", ""abp"": 150, ""concelho"": ""Salvaterra de Magos"", ""freguesia"": ""Marinhais"", ""n_quartos"": 5, ""orginal_cfr"": ""120431273-94"", ""percentil_pva"": 80, ""ano_construcao"": 1985}",219,"b7a29035464c29292f8a33c40e874589",NULL,6,2125121,2,4,2,2,8,141500,141502,4
2547559,202110,"2020-08-01",14,False,False,False,False,"0101000020E6100000983EA1C2046421C05FFBB8EC469F4340",586,"{""pv"": 54500, ""pva"": 54000, ""coef"": 99.000, ""meses"": 1, ""pv_m2"": 592}","{""cp"": ""2005-262 SANTARÉM"", ""abp"": 92, ""concelho"": ""Santarém"", ""freguesia"": ""UF Santarém (Marvila/S Salv./S Nicolau) "", ""n_quartos"": 3, ""orginal_cfr"": ""120431207-234"", ""percentil_pva"": 21, ""ano_construcao"": 1987}",219,"aef15fa92d65cb4b6b63c15b28ef0e1e",NULL,5,2005262,2,1,2,1,4,141600,141633,4
2547815,202110,"2021-10-01",0,False,False,False,False,"0101000020E610000097D0CCAFC07821C0218580B634A74340",586,"{""pv"": 101500, ""pva"": 101500, ""coef"": 100.000, ""meses"": 12, ""pv_m2"": 587}","{""cp"": ""2005-076 ROMEIRA"", ""abp"": 173, ""concelho"": ""Santarém"", ""freguesia"": ""UF Romeira e Várzea"", ""n_quartos"": 3, ""orginal_cfr"": ""120431284-87"", ""percentil_pva"": 60, ""ano_construcao"": 2006}",219,"bf7351a88e2312170c090d508bc170ba",NULL,6,2005076,2,3,1,2,7,141600,141632,4
