imovel1,imovel2,proporcao_de_iguais,proporcao_de_diferentes,proporcao_de_indeterminados
im10_3_iguais_ao_4_porem_3_diferentes,im4,0.5,0.5,0.0
im7_2_iguais_ao_4,im10_3_iguais_ao_4_porem_3_diferentes,0.5,0.5,0.0
im10_3_iguais_ao_4_porem_3_diferentes,im8_5_iguais_ao_4_porem_1_diferente,0.3333333333333333,0.6666666666666667,0.0
im10_3_iguais_ao_4_porem_3_diferentes,im9_5_iguais_ao_4_porem_3_diferente,0.6666666666666666,0.33333333333333337,0.0
im9_5_iguais_ao_4_porem_3_diferente,im4,0.625,0.375,0.0
ex1,ex1_ind,0.0,0.375,0.625
